category,premium,52KH,share,30avg,jk,last_price,myprice,setlow,range,cname,disct,52KL,SID,current_price,volumn
FD,0.10%,3.229,,8.62万,3.048,,,2,75.86,国泰小盘,,2.446,SZ160211,￥3.040,29.72亿
FD,0.01%,100.078,302,3.02亿,100.008,99.976,99.976,99,90.14,华宝添益,,99.500,SH511990,￥100.021,653.16亿
FD,0.03%,102.648,100,9494.07万,101.223,100.473,100.473,99,45.12,银华日利,,100.095,SH511880,￥101.247,256.27亿
FD,0.44%,1.229,100,1200.75万,1.046,1.126,1.126,1.02,22.65,信息技术,,0.995,SZ159939,￥1.048,3.70亿
FD,-1.00%,0.917,103,451.54万,0.809,0.827,0.827,0.7,53.3,一带一路,,0.690,SH502013,￥0.811,15.56亿
FD,1.00%,1.088,100,-,0.878,1.057,1.057,0.88,6.07,军工基金,,0.874,SH512680,￥0.887,2.48亿
FD,-12.89%,1.596,1100,333.73万,1.004,1.116,1.256,1,0.5,九泰锐智,,0.997,SZ168101,￥1.000,3.60亿
CN,0.00%,1.170,3500,-,0.955,1.032,1.055,1,5.31,证券ETF,,0.944,SH512880,￥0.956,1.74亿
CN,0.06%,1.357,,36.06万,1.270,,,0.97,68.24,深红利(深证红利),,1.017,SZ159905,￥1.249,2.19亿
ZT,-1.44%,0.670,,897.50万,0.463,,,0.4,11.98,养老B,,0.453,SZ150306,￥0.479,1475.05万
ZT,-2.29%,1.072,,1.46亿,0.790,,,0.49,22.07,环保B,,0.714,SZ150185,￥0.793,2.51亿
